dealer,review_text,source,clean_review,word_count,tb_polarity,vader_compound,sentiment
Kenny Kent Toyota,The whole team we encountered was friendly and efficient,DealerRater,the whole team we encountered was friendly and efficient,9,0.2875,0.7184,Positive
Kenny Kent Toyota,"Efficient processing, friendly service. I would definitely purchase from them in the future.",DealerRater,"efficient processing, friendly service. i would definitely purchase from them in the future.",13,0.125,0.8271,Positive
Kenny Kent Toyota,"JohnD helped me through the process of picking exactly the car I wanted.  Overall great experience, will return in the future and recommend this dealership to family and friends.",DealerRater,"johnd helped me through the process of picking exactly the car i wanted. overall great experience, will return in the future and recommend this dealership to family and friends.",29,0.2625,0.8658,Positive
Kenny Kent Toyota,Couldn’t make a deal. Went next door and bought a Tundra. Really happy with it.,DealerRater,couldn’t make a deal. went next door and bought a tundra. really happy with it.,15,0.4,0.6115,Positive
Kenny Kent Toyota,"buying process. He kept me updated during the build and delivery of my vehicle. He took his time to make sure all of my questions were answered and explained all the new technological features of our new vehicle. He also helped link my phone to the car. I would highly recommend him for any Toyota purchase at Kenny Kent.

In addition, completing all the paperwork and financial documentation was quick and easy with Jason Woosley. He once again made sure all my questions were answered and was friendly and efficient.

I would highly recommend purchasing a vehicle at Kenny Kent Toyota.",DealerRater,"buying process. he kept me updated during the build and delivery of my vehicle. he took his time to make sure all of my questions were answered and explained all the new technological features of our new vehicle. he also helped link my phone to the car. i would highly recommend him for any toyota purchase at kenny kent. in addition, completing all the paperwork and financial documentation was quick and easy with jason woosley. he once again made sure all my questions were answered and was friendly and efficient. i would highly recommend purchasing a vehicle at kenny kent toyota.",101,0.2734393939393939,0.9523,Positive
Kenny Kent Toyota,"salesman, Nick Byers! Everything was straight to the point and everyone was so kind.",DealerRater,"salesman, nick byers! everything was straight to the point and everyone was so kind.",14,0.4,0.7621,Positive
Kenny Kent Toyota,Everyone was friendly and helpful. We will definitely use Kenny Kent in the future.,DealerRater,everyone was friendly and helpful. we will definitely use kenny kent in the future.,14,0.125,0.8271,Positive
Kenny Kent Toyota,"salesperson, promptly cane up to serve us. Josh gave us undivided attention and proficiently walked us through the steps to purchase our Tacoma TRD Sport Truck. We had family in town visiting us so Josh knew we had time constraints that he managed with a streamlined process. We left the dealership with a new truck and with a pleasant experience.",DealerRater,"salesperson, promptly cane up to serve us. josh gave us undivided attention and proficiently walked us through the steps to purchase our tacoma trd sport truck. we had family in town visiting us so josh knew we had time constraints that he managed with a streamlined process. we left the dealership with a new truck and with a pleasant experience.",60,0.28989898989898993,0.5106,Positive
Kenny Kent Toyota,"We went to this dealership twice and both times we had to go searching for a sales person and then they were not willing to do anything for us. We got ours in Georgia because they were eager to help. We realized we couldn’t order a specific one, but the dealer in Georgia looked hard and he  found one.",DealerRater,"we went to this dealership twice and both times we had to go searching for a sales person and then they were not willing to do anything for us. we got ours in georgia because they were eager to help. we realized we couldn’t order a specific one, but the dealer in georgia looked hard and he found one.",59,-0.1388888888888889,0.25,Positive
Kenny Kent Toyota,I would recommend him to anyone looking to buy a new Toyota.,DealerRater,i would recommend him to anyone looking to buy a new toyota.,12,0.13636363636363635,0.3612,Positive
